Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly_score,anomaly
0.309394,0.192121,0.692121,334.142424,9.430606,-1.497879,0.535286,17.575758,13.781067,20.994732,0.151515,0.333333,0.060606,0.0,0.272727,0.727273,0.636364,0.636364,0.0,-0.1645552759180916,-1
0.381176,0.232353,0.684412,318.355882,9.505294,-1.494412,0.801166,37.058824,13.480132,21.99259,0.147059,0.323529,0.147059,0.029412,0.235294,0.764706,0.647059,0.647059,0.0,-0.16403840841003536,-1
0.57,-0.063333,0.225556,-8.922222,6.346667,-1.11,0.169223,0.0,10.574795,2.99229,0.0,0.222222,0.0,0.111111,0.111111,0.888889,0.777778,0.555556,0.222222,-0.16259266993795551,-1
0.382353,0.222647,0.697647,318.355882,9.570882,-1.507941,0.770135,31.470588,13.480132,21.99259,0.176471,0.323529,0.147059,0.029412,0.235294,0.764706,0.647059,0.647059,0.0,-0.1622187627268632,-1
-0.652,0.232,-0.354,79.28,-1.658,0.686,0.47543,0.0,6.015,-0.005094,0.0,0.4,0.0,0.6,1.0,0.0,0.0,0.0,0.0,-0.1621121677380567,-1
0.312727,0.228788,0.621515,285.284848,9.229091,-1.441818,0.779806,47.272727,13.457765,19.995439,0.121212,0.272727,0.181818,0.0,0.272727,0.727273,0.666667,0.636364,0.030303,-0.15951475936536974,-1
0.285484,0.199032,0.69871,309.977419,9.389677,-1.490968,0.761779,21.935484,13.758793,19.99474,0.16129,0.322581,0.096774,0.0,0.290323,0.709677,0.645161,0.645161,0.0,-0.15460792954660585,-1
0.348824,0.187059,0.688529,284.594118,9.248824,-1.441176,0.698537,34.411765,13.781067,21.071305,0.176471,0.323529,0.176471,0.058824,0.235294,0.764706,0.676471,0.676471,0.0,-0.15328788263751703,-1
0.449259,0.10963,0.754444,243.614815,8.172593,-1.358889,0.4523,21.851852,13.523868,17.105962,0.222222,0.222222,0.111111,0.111111,0.148148,0.851852,0.740741,0.740741,0.0,-0.1527664303594699,-1
-0.646,0.142,-0.254,126.64,-1.532,0.576,0.39265,0.0,6.015,-0.005094,0.0,0.4,0.0,0.4,1.0,0.0,0.0,0.0,0.0,-0.1525673945374949,-1
