Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly
0.43,0.815,0.26,294.733333,6.295,-0.86,0.40851,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
0.24,0.665,-0.086667,78.75,1.361667,0.11,0.726471,0.0,11.085,0.994898,0.166667,0.166667,0.0,0.666667,0.666667,0.333333,0.166667,0.166667,0.0,-1
-0.176667,0.16,0.19,23.066667,2.203333,-0.32,0.71283,65.0,11.539912,1.994157,0.0,0.333333,0.166667,0.166667,0.666667,0.333333,0.333333,0.333333,0.0,-1
0.051667,-0.101667,-0.525,-10.616667,1.456667,0.17,0.495505,48.333333,2.810538,-2.004738,0.0,0.666667,0.166667,0.333333,0.666667,0.333333,0.333333,0.0,0.333333,-1
-0.891667,-0.271667,-0.095,8.333333,-2.125,0.78,0.116998,65.0,6.015,-0.005094,0.333333,0.666667,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
0.178333,0.428333,0.14,-16.716667,2.566667,-0.211667,0.293326,0.0,11.539912,1.994157,0.166667,0.166667,0.0,0.5,0.5,0.5,0.333333,0.333333,0.0,-1
0.421667,0.041667,-0.088333,-9.033333,5.293333,-0.763333,0.722848,0.0,7.092401,-0.004428,0.0,0.166667,0.0,0.166667,0.333333,0.666667,0.666667,0.333333,0.333333,-1
-0.573333,-0.528333,-0.161667,8.333333,-0.196667,0.38,0.431061,113.333333,2.995,-1.004916,0.166667,0.833333,0.333333,0.0,0.833333,0.166667,0.166667,0.0,0.166667,-1
0.421667,0.041667,-0.088333,-9.033333,5.293333,-0.763333,0.722848,0.0,7.092401,-0.004428,0.0,0.166667,0.0,0.166667,0.333333,0.666667,0.666667,0.333333,0.333333,-1
0.278333,0.728333,0.241667,199.266667,6.186667,-0.796667,1.140348,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.301667,0.083333,-0.04,-30.866667,1.946667,0.123333,0.687397,0.0,11.085,0.994898,0.166667,0.333333,0.0,0.5,0.666667,0.333333,0.166667,0.166667,0.0,-1
-0.773333,-0.03,-0.16,-30.866667,-3.823333,1.001667,0.094768,260.0,6.015,-0.005094,0.166667,0.333333,0.833333,0.166667,1.0,0.0,0.0,0.0,0.0,-1
0.115,0.136667,0.036667,-9.033333,3.338333,-0.463333,0.903647,65.0,10.105428,0.994865,0.0,0.166667,0.166667,0.166667,0.5,0.5,0.5,0.333333,0.166667,-1
0.361667,0.535,0.331667,83.616667,7.01,-0.98,1.040787,0.0,11.2267,2.990615,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.038333,0.54,0.038333,28.9,1.318333,-0.026667,0.434776,65.0,11.539912,1.994157,0.0,0.0,0.166667,0.5,0.666667,0.333333,0.333333,0.333333,0.0,-1
0.106667,0.613333,0.066667,103.8,1.426667,-0.036667,0.474477,65.0,11.539912,1.994157,0.0,0.0,0.166667,0.5,0.666667,0.333333,0.333333,0.333333,0.0,-1
-0.668333,-0.245,-0.018333,62.666667,-1.606667,0.598333,0.104426,65.0,5.939312,-0.007227,0.333333,0.5,0.166667,0.333333,1.0,0.0,0.0,0.0,0.0,-1
0.223333,0.516667,0.14,30.516667,2.915,-0.27,0.490354,0.0,11.539919,2.032444,0.0,0.0,0.0,0.666667,0.5,0.5,0.5,0.5,0.0,-1
0.178333,0.463333,0.246667,8.333333,1.501667,-0.281667,0.753101,0.0,10.871898,2.992684,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.726667,0.105,-0.253333,79.9,-2.77,0.87,0.311834,113.333333,6.015,-0.005094,0.0,0.333333,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
